country,description,points,price,province,region_1,taster_name,title,variety
US,"Blackberry fruit makes friends with black earth, coffee syrup, dill and dried garden herbs on this nuanced bottling. The palate blends cherry cola with milk chocolate, and boisterous acidity with black rock minerality, finishing on a cream-soda spritz.",92,32.0,California,Paso Robles,Matt Kettmann,Oso Libre 2012 Nativo Primitivo (Paso Robles),Primitivo
South Africa,An interesting wine composed of 70% Chardonnay and 30% Pinot Noir. The bouquet offers notes of ripe red apple and soft toast alongside nuances of small red berries. Medium-weight with good balance and a dry but nutty finish. Drink now.,86,17.0,Franschhoek,,Lauren Buzzeo,Haute Cabrière 2009 Chardonnay-Pinot Noir Rosé (Franschhoek),Rosé
France,"Ripe and full bodied, this is packed with tasty fruits. Notes of pear, apricot and white peach mingle easily together, creating a forward, wine with the right depth of flavor.",87,20.0,Burgundy,Bourgogne,Roger Voss,Bouchard Père & Fils 2010 Réserve  (Bourgogne),Chardonnay
US,"Clean and zesty, this is a nice cocktail sipper, with rich flavors of green apples, pineapples, peaches, apricots, vanilla and spice. The honeyed finish is brightened with crisp acidity.",85,9.0,California,California,,Fetzer 2006 Pinot Grigio (California),Pinot Grigio
France,"This is a tight, mineral-driven wine with fresh acidity and a crisp character. Sémillon dominated, it conveys green fruits, bright acidity and a lively, tangy aftertaste. The wine is refreshing, fruity and ready to drink. Nicolas Thienpont and his brothers bought this 16-acre property in 1988.",87,20.0,Bordeaux,Francs Côtes de Bordeaux,Roger Voss,Château les Charmes Godard 2014  Francs Côtes de Bordeaux,Bordeaux-style White Blend
US,"Okay for everyday drinking, with crisp acidity and a clean, steely minerality undergirding the lime flavors. The drawback is a strong feline smell and taste that some will find offensive.",83,12.0,California,Dry Creek Valley,,Pedroncelli 2009 East Side Vineyards Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc
Australia,"Smells just gorgeous, combining classic lime sherbet notes with hints of petrol and fleurs blanches. But in the mouth it lacks the same finesse, and shows a riper, chunkier character that leans toward pineapple and peach. It's still very good, but don't expect it to age well past 5 or 6 years.",88,19.0,South Australia,Clare Valley,Joe Czerwinski,Koonowla 2007 Riesling (Clare Valley),Riesling
US,"The oak sticks out now in the form of toast and sweet wood sap, but that's because it hasn't been integrated into this fine young wine. Give it 3–4 years to come around, by which time the barrel influence will equalize with the ripe raspberries, cherries, Dr. Pepper cola and red currants. Could be quite special around 2015.",93,55.0,California,Santa Cruz Mountains,,Arista 2009 Woodruff Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir
France,"A delicious Volnay, all warm fruits and sweet tannins. The wine is soft as well as juicy, enjoying ripe cherry and red plum juice flavors. The tannins and acidity give a gentle boost. Drink now, or age for 3–4 years.",89,45.0,Burgundy,Volnay,Roger Voss,Maison Jessiaume 2008  Volnay,Pinot Noir
Italy,"Here's a bright, ruby-colored Rosso di Montalcino with subdued aromas of forest floor, white mushroom and pressed wildflower. It's a delicate but territory-driven wine with good intensity of red fruit flavor in the mouth. Pair it with steak and wild mushroom cream sauce.",87,20.0,Tuscany,Rosso di Montalcino,,Fattoria dei Barbi 2008  Rosso di Montalcino,Sangiovese Grosso
Italy,"Here's a zesty wine with attractive aromas of freshly picked roses, lychee and mineral. The palate offers juicy yellow grapefruit accented by spicy notes of white pepper and clove that add depth.",87,18.0,Northeastern Italy,Alto Adige Valle Isarco,Kerin O’Keefe,Cantina Valle Isarco 2012 Aristos Gewürztraminer (Alto Adige Valle Isarco),Gewürztraminer
France,"Lightly honeyed, this off-dry wine is complex while also fruity. Intense flavor fills the mouth with spice, yellow fruits, pineapple and a touch of mango. The fruits are balanced by the more nuanced honey and spice character that is finished with acidity. Gros Manseng, a native grape of this region, is worth getting to know. Drink this delicious wine from 2016.",91,17.0,Southwest France,Côtes de Gascogne,Roger Voss,Domaine du Tariquet 2014 Premières Grives Gros Manseng (Côtes de Gascogne),Gros Manseng
France,"This blend of equal parts of Pinot Noir and Chardonnay is impressive. On the dry side of Brut, it is crisp, tight with intense acidity and a nervy texture that will soften. It's a perfumed, structured wine full of potential with its citrus and spice flavors. Drink this bottling from 2019.",93,140.0,Champagne,Champagne,Roger Voss,Chanoine NV Tzarina No 1 Brut  (Champagne),Champagne Blend
Australia,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020–2030.",91,29.0,South Australia,McLaren Vale,Joe Czerwinski,D'Arenberg 2013 The Derelict Vineyard Grenache (McLaren Vale),Grenache
US,A waxy vein of petroleum cuts enticingly through juicy-sweet pink grapefruit and peach flavors in this dainty semisweet Riesling. It's vivaciously spry yet finishes long on a lingering lacy veil of sweetness. Drink now through 2022.,91,19.0,New York,Finger Lakes,Anna Lee C. Iijima,Boundary Breaks 2013 No. 198 Single Vineyard Reserve Riesling (Finger Lakes),Riesling
Portugal,"This is an attractively fruity wine with its ripe apple and crisp pear flavors. Lined with acidity and refreshing, it is a clean, lightly herbaceous wine. Drink now.",85,12.0,Tejo,,Roger Voss,Fiuza 2015 Arinto (Tejo),Arinto
Spain,"This Monastrell's scratchy, slightly soapy berry and cassis aromas are on the sweet and ripe side. Its baked plum and berry flavors are fleshy and lack focus, finishing with abrasive tannins.",88,18.0,Levante,Jumilla,Michael Schachner,Casa de la Ermita 2013 Lunático Monastrell (Jumilla),Monastrell
France,"While the wine is structured, it does also have plenty of ripe, juicy fruitiness that is already delicious. It's an open wine, rounded and rich in fruit flavor. The tannins are likely to smooth out soon, so drink from 2016.",89,28.0,Burgundy,Santenay,Roger Voss,Antonin Rodet 2011 Château de Mercey  (Santenay),Pinot Noir
Austria,"Bordeaux grapes mix with Zweigelt in this full-bodied, serious wine. It has initial severe tannins, followed by ripe currant and blackberry fruit. The wood aging gives good spice character. Well worth aging for 3–4 years.",90,20.0,Niederösterreich,,Roger Voss,Dürnberg 2007 Impetus Select Red (Niederösterreich),Austrian Red Blend
Australia,"Leeuwin's Chardonnay continues to be a standard-bearer for Margaret River and all of Australia. The 2012 Art Series is subtly toasty on the nose, blossoming with time into full-on crème brûlée aromas, while the palate offers creamy-textured notions of tropical fruit and custard. The long finish reverberates with fruit, suggesting plenty of aging potential, up to 10 or 12 years.",94,89.0,Western Australia,Margaret River,Joe Czerwinski,Leeuwin Estate 2012 Art Series Chardonnay (Margaret River),Chardonnay
Argentina,"Yellowish in color, a true indicator that this is on the way out. Tastes chunky and flat, with bland lychee and melon flavors. Short then bitter on   the finish.",80,13.0,Other,Salta,Michael Schachner,Villa Viña 2006 Torrontés (Salta),Torrontés
France,"This is an impressively rich and ripe within the light, poised character of classic Muscadet. It balances floral apple and pear fruit with a tight, mineral texture that gives the wine a young character. The extended lees aging has added notes of almonds and spice to this ripe wine. Drink from 2017.",91,19.0,Loire Valley,Muscadet Sèvre et Maine,Roger Voss,Gadais Père et Fils 2015 Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Melon
Italy,"Funky aromas of underbrush, game and a hint of barnyard follow over to the tannic palate. It lacks fruit richness and has an astringent finish.",85,25.0,Piedmont,Barolo,Kerin O’Keefe,Reverdito 2012  Barolo,Nebbiolo
Italy,"Here's a creamy, opulent, caressing, Cabernet Sauvignon (with 10% Sangiovese) with thick, sweet juicy succulence and almost exaggerated aromas of ripe blackberry and plum. It's round and soft in the mouth. Drink after 2010.",93,95.0,Tuscany,Sant'Antimo,,Casanova di Neri 2004 Pietradonice Cabernet Sauvignon (Sant'Antimo),Cabernet Sauvignon
France,"Soft and fruity, this has apple and citrus flavors, with a touch of vanilla. It is light, fragrant and crisp; ready to drink.",84,,Burgundy,Bourgogne,Roger Voss,André Guichot 2010  Bourgogne,Chardonnay
US,"Here is another great value from the Milbrandt brothers, based upon their impeccable vineyard sources (they own 1600 acres, mostly in the Wahluke Slope AVA). Dense and dark, ripe and compact, this Cab/Merlot/Petit Verdot blend brings plenty of macho and muscle, layers of black fruits, black smoke, black tea and black olives. Get the idea? It's a beautiful effort, and really shines at this price point.",90,15.0,Washington,Columbia Valley (WA),Paul Gregutt,Milbrandt 2006 Traditions Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon
Austria,"A stern and tannic wine, with its acidity to the fore. With the weight of fruit and the firm structure, this is a wine that needs to age. The final juicy character gives great promise for the future.",90,39.0,Leithaberg,,Roger Voss,Hillinger 2009 Blaufränkisch (Leithaberg),Blaufränkisch
US,"Lots of flamboyant blackberry, cherry, raspberry, blueberry and plum fruit flavors in this wine. Almost too much of a good thing. So ripe and opulent, its other qualities, including wonderful tannin structure, seem overshadowed. Difficult to predict where it's going, but right now, it's an orchard in a bottle.",89,135.0,California,Napa Valley,,Janzen 2008 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon
US,"Smoky, slightly nutty aromas dissipate with aeration to reveal fresher notes of apple, lemon and pear here. While closed and tight in profile, fresh acidity and juicy citrus flavors are easygoing and approachable.",86,20.0,New York,North Fork of Long Island,Anna Lee C. Iijima,Lieb 2015 Reserve Pinot Blanc (North Fork of Long Island),Pinot Blanc
US,"This is a forward, fruity take on the grape, mixing plum and berry and vivid citrus components. Oak aging brings in dark chocolate highlights, which complement the highlights of candied orange peel in the finish.",88,35.0,Oregon,Rogue Valley,Paul Gregutt,Grizzly Peak 2013 Reserve Malbec (Rogue Valley),Malbec
France,"Dense and structured, this second wine from Château Margaux is magnificent. There are hints of bitter chocolate, along with tarry fruit. It is very textured, just hinting at extraction. The tannins are rounded and velvet-like in character. It's a wine for medium-term aging.",94,,Bordeaux,Margaux,Roger Voss,Château Margaux 2010 Pavillon Rouge de Château Margaux  (Margaux),Bordeaux-style Red Blend
France,"This is a juicy red-fruit-flavored wine. It has attractive tannins and plenty of acidity. With a fresh crisp aftertaste, it is light and will develop quickly.",85,15.0,Bordeaux,Bordeaux Supérieur,Roger Voss,Château de Seguin 2015 Cuvée Prestige  (Bordeaux Supérieur),Bordeaux-style Red Blend
Chile,"Earthy aromas of rubber and herbs meet black cherry on the nose. The palate is lively, with bold acidity and grabby tannins carrying flavors of black plum, cassis and loamy earth. Drink this functional, everyday red through 2017.",88,14.0,Rapel Valley,,Michael Schachner,Lapostolle 2013 Casa Grand Selection Cabernet Sauvignon (Rapel Valley),Cabernet Sauvignon
Italy,"Smells strongly of lemongrass, and this character carries over onto the palate, which is flavored by lemon, pear and herbs. Feels a bit heavy in the mouth, but finishes clean and lemony.",83,8.0,Veneto,Veneto,Joe Czerwinski,La Villa Veneta 2001 Pinot Grigio (Veneto),Pinot Grigio
Italy,"Aromas of espresso, French oak, blackberry and exotic spice lead the way. The firm palate offers raw black cherry, coconut and oak-driven spice alongside racy acidity and fine-grained tannins. It closes on a note of roasted coffee bean.",87,36.0,Piedmont,Barbera d'Alba,Kerin O’Keefe,Marchesi di Barolo 2013 Peiregal  (Barbera d'Alba),Barbera
France,"While this has some lean tannins, the wine offers ripe red fruit and berry character to balance. It's structured, still young and getting its tannins together. Drink this fresh, structured and juicy wine from 2018.",89,,Bordeaux,Pessac-Léognan,Roger Voss,Château Lafargue 2012  Pessac-Léognan,Bordeaux-style Red Blend
Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",87,22.0,Catalonia,Montsant,Michael Schachner,Jaspi 2011 Negre Red (Montsant),Red Blend
US,"Well-integrated blueberry and purple flower aromas make for a casual rather than bombastic nose in this blend of 32% Syrah, 28% Grenache, 25% Mourvèdre and 15% Petite Sirah. Roasted meat, charred blackberry and dried fennel notes show on the palate, feeling very balanced and acid-even.",90,40.0,California,Paso Robles,Matt Kettmann,Kaleidos 2015 Morpheus Red (Paso Robles),Rhône-style Red Blend
France,"Light colored and light flavored, this has just hints of fruitiness along with the acidity. It is a crisp wine, very dry in character, bright and tangy at the end.",84,12.0,Bordeaux,Bordeaux Rosé,Roger Voss,Château Haut Bessac 2014 Rosé (Bordeaux Rosé),Rosé
New Zealand,"Seyfried always seems to do well with aromatic varieties, perhaps because of the family's Germanic roots. This Riesling includes a hint of honey on the nose, plus melon and pear fruit and a lingering hint of gingery spice on the finish.",88,18.0,Nelson,,Joe Czerwinski,Seifried 2014 Riesling (Nelson),Riesling
US,"Oaky and robust, this wine takes on a confectionery route to tropical flavor and high-octane concentration, offering a thickness of texture and body. Stainless-steel fermented, it unveils secondary flavors of lime and white peach on the finish.",86,17.0,California,Napa Valley,Virginie Boone,Napa Cellars 2016 Sauvignon Blanc (Napa Valley),Sauvignon Blanc
US,"A little raw in acidity, with some green olive notes, but the rustic nature works in favor of the wine, grounding its rich blackberry, currant and chocolate flavors with earthiness. Tasted in a flight of much more expensive wines, this Cab did very well.",87,12.0,California,California,,Morro Bay 2007 Split Oak Vineyard Cabernet Sauvignon (California),Cabernet Sauvignon
Portugal,"This pure Touriga Nacional is perfumed, firmly tannic and packed with the tight, mineral character typical of the region. Richly fruity with juicy black currant flavor, it's still developing and will be best from 2019.",92,48.0,Dão,,Roger Voss,Boas Quintas 2014 Quinta da Fonte do Ouro Reserva Especial Touriga Nacional (Dão),Touriga Nacional
US,"This study of a low-yielding clone produced a compelling range of aromas and flavors. The nose leads with iodine, seaweed and coffee scents against a backdrop of tangy black fruit. The palate shows more nori, lavender, black pepper, asphalt and dried blackberry flavor, finishing on a lingering oaky note.",91,30.0,California,Santa Ynez Valley,Matt Kettmann,Firestone 2013 Clone 174 Syrah (Santa Ynez Valley),Syrah
Italy,"Here's a pungent and intense Italian sparkler (made with Chardonnay, Pinot Bianco and Pinot Nero) that opens with bright aromas of apricot, mature melon, white almond and yellow rose. The wine is smooth and silky, and there's a ripe, warm quality to the fruit flavors.",88,30.0,Lombardy,Franciacorta,,Ronco Calino NV Brut Sparkling (Franciacorta),Sparkling Blend
US,"Scented with herbs, pine needles and a hint of pepper, this has a solid core of tart, wild-cherry fruit. The tannins are drying and show some stem flavors, but as the wine breathes it smoothes out and softens up.",90,48.0,Oregon,Willamette Valley,Paul Gregutt,Winderlea 2011 Shea Vineyard Pinot Noir,Pinot Noir
France,"91–93. Barrel sample. Owner Alain Moueix is a standard bearer for biodynamics in Bordeaux. This is a rich and opulent wine, boasting ripe black currants and fragrant fruits. A very pure and forward wine.",92,,Bordeaux,Saint-Émilion,Roger Voss,Château Fonroque 2012 Barrel Sample  (Saint-Émilion),Bordeaux-style Red Blend
Chile,"Granular aromas of latex, plum and animal lead to a choppy piercing high-acid palate. Dilute flavors of generic berry fruits are candied on one hand and tart and weedy on the other.",83,14.0,Chile,,Michael Schachner,Cono Sur 2015 Organic Pinot Noir (Chile),Pinot Noir
Italy,"Aromas of red berry and crushed blue flower open this easy-drinking red. The bright, vertical palate offers sour cherry and a hint of cooking spice alongside vibrant acidity and sleek tannins.",87,16.0,Tuscany,Chianti,Kerin O’Keefe,Castello Montauto 2013  Chianti,Red Blend
Spain,"This is Albariño in fine form. The nose is succulent and marble-smooth, with pure citrus and melon aromas. The palate is lively but refined, with exuberant citrus flavors that come on strong but with proper restraint. Long and ripe on the finish, which only adds to the experience. Drink now.",91,25.0,Galicia,Rías Baixas,Michael Schachner,Lusco 2006 Albariño (Rías Baixas),Albariño
France,"Soft notes of sweet grass and garrigue herbs accent the fruity tones of small red berries, watermelon rinds and lime peels on the nose of this light, fresh wine. The palate is tart and bright, with ample acidity and a short finish.",84,20.0,Languedoc-Roussillon,Languedoc,Lauren Buzzeo,Domaine Sainte Croix 2015 Cuvée Montlaurès Rosé (Languedoc),Rosé
US,"High alcohol gives this Zin a hot burn, but it's part of the wine's personality. That's along with the chocolate, black currant, cassis and pepper flavors and rich, thick tannins. You'll either love it or not.",86,20.0,California,Lodi,,Mettler Family Vineyards 2006 Epicenter Zinfandel (Lodi),Zinfandel
Spain,"Heavy, raisiny aromas carry heat and a whiff of vinegar. In the mouth, this is thick and almost syrupy. Earthy flavors of blackberry, raisin and prune finish chewy but flat. Look for a ripe, rich wine that's soft and earthy more than structured.",86,35.0,Northern Spain,Rioja,Michael Schachner,Bodega Beleluin 2010 Amadeo  (Rioja),Tempranillo
France,"Very light, this wine disappoints with a lack of power, of steely acidity. Instead it is soft, broad, a touch of green fruit, leaving a light, bright aftertaste.",84,15.0,Alsace,Alsace,Roger Voss,Domaine Specht 2008 Riesling (Alsace),Riesling
US,"Coming from a vineyard that sits 500 feet above Monterey Bay, this shows crisp green apple and grapefruit rinds on the nose, as well as a sharp, intriguing herbal tinge. It's extremely tight and high-toned on the palate, with bitter lime peels, white rocks and salinity, finishing on toasted apples.",90,30.0,California,Santa Cruz Mountains,Matt Kettmann,Portola Vineyards 2012 Regan Vineyards Chardonnay (Santa Cruz Mountains),Chardonnay
France,"A dry wine to be sure, although one with great fruit as well as a rich texture from the 80% Pinot Noir in the blend. It is a crisp elegant wine with its citrus and apple flavors along with the fine tight acidity. This bottling is still young and, like any dry Champagne, needs to age. Drink from 2018.",94,80.0,Champagne,Champagne,Roger Voss,Lombard et Cie NV Brut Nature Verzenay Grand Cru  (Champagne),Champagne Blend
Portugal,"This is a rich and concentrated wine, packed with tannins and dense, perfumed berry fruits. There is a fresh element to the wine also, that gives a lift to the aftertaste. For a lighter, softer style of LBV, this is just right.",90,,Port,,Roger Voss,C. da Silva 2010 Presdential  (Port),Port
US,"Perfumed with notes of white flowers, melon and peach, this off-dry wine is delicate on the palate with sweet stone-fruit flavors offset by brisk lemon acidity. It's straightforward in style but bright and fresh with a hint of honey that lingers.",86,26.0,New York,North Fork of Long Island,Anna Lee C. Iijima,Martha Clara 2012 Estate Reserve Riesling (North Fork of Long Island),Riesling
Chile,"Immediately this Malbec is defined by loud, toasty, overbearing oak. On the nose, it smells like vanilla, sawdust, campfire and creamy but generic black fruits. In the mouth, it's blocky, while heavy oak-influenced flavors of chocolaty mint and vanilla finish like an ice cream sundae.",86,18.0,Curicó Valley,,Michael Schachner,Millaman 2014 Limited Reserve Malbec (Curicó Valley),Malbec
US,Strawberry and graphite meet with a rusty element on the nose of this easy-to-quaff and yet intriguing and well-priced wine. A nice ripe pomegranate element on the palate leads to licorice and a gunmetal minerality.,87,17.0,California,Monterey County,Matt Kettmann,Esser 2013 Pinot Noir (Monterey County),Pinot Noir
US,"The Zephyr Ridge vineyard provides the fruit for this brambly Petite Sirah. It was aged for 22 months in American oak, and has that roughshod character, a mix of wild berry, garrigue and clean earth.",86,20.0,Washington,Horse Heaven Hills,Paul Gregutt,Thurston Wolfe 2008 Petite Sirah (Horse Heaven Hills),Petite Sirah
Chile,"Concentrated aromas of ocean brine, sweat and citrus fruits feed into a juicy, minerally palate. Green, tangy flavors of tangerine and canned beans end long, minerally and fresh, with lasting acidity.",89,20.0,Casablanca Valley,,Michael Schachner,Matetic 2015 EQ Coastal Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc
US,"Pleasant but light on the nose, with strawberry and cough syrup notes. A bit monotone in the mouth with slight sweetness and a short cherry-flavored finish.",81,14.0,New York,Finger Lakes,,Glenora 2007 Rosé Pinot Noir (Finger Lakes),Pinot Noir
France,"Subtle and restrained, drawn in a more oxidative, less overtly fruity style. The palate is broad and unfocused but shows good depth of flavor and an intriguing thread of apricot. Ends with a nutty, almond note. Drink up.",86,13.0,Provence,Coteaux Varois,,Château Routas 2009 Rouvière Rosé (Coteaux Varois),Rosé
US,"The vineyard is in a warmer part of the northern valley, and yet it shows brisk acidity and the cool-climate apricot, lime and white peach flavors of a long hangtime region. It's a fine Chardonnay, oaky and buttery, and provides pleasant drinking now.",88,35.0,California,Russian River Valley,,Arrowood 2011 Alary Vineyard Chardonnay (Russian River Valley),Chardonnay
Australia,"Perhaps this wine just needs some additional cellaring, as the finish is long enough to suggest promise, but this particular bottle was in a cranky stage, showing lots of toasted oak and coffee-like aromas and tart acidity. The tannins seem ripe, so it's worth trying again in a year or two.",87,30.0,South Australia,McLaren Vale,Joe Czerwinski,Aramis 2005 Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon
US,"The inaugural offering of this block-designate is dark and brooding, with tightly constructed, sizable tannins and oak still pronounced on the palate. Time should develop its floral notes of rose and orange peel, with accents of tea, cranberry and pomegranate. Cellar through 2017.",90,85.0,California,Green Valley,Virginie Boone,Iron Horse 2012 Home Block Single Clone Pinot Noir (Green Valley),Pinot Noir
US,"Racy acidity gives this wine a clean, bracing mouthfeel. Then the fruit kicks in, filled with pineapples, green apples, lemons, limes and pears. But with a sugary finish, it could be drier.",84,19.0,California,Russian River Valley,,Hanna 2010 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc
Italy,"Aromas of raisin, purple flower, stewed plum, Asian spice and a hint of resin lead the nose on this dense red. The big monolithic palate doles out mature black plum, raisin, blackberry extract and licorice alongside velvety tannins. A confectionery note closes the finish.",90,64.0,Veneto,Amarone della Valpolicella Classico,Kerin O’Keefe,San Rustico 2010 Gaso  (Amarone della Valpolicella Classico),Red Blend
US,"Despite the low alcohol reading, this comes across as dry rather than off dry. Apple, pear and white peach anchor a just-ripe-enough wine with highlights of citrus oil. There's good length and focus throughout.",90,15.0,Oregon,Willamette Valley,Paul Gregutt,Château Bianca 2014 Riesling (Willamette Valley),Riesling
Argentina,"The Torrontes character shows on the nose, meaning there's detectable lychee and orange blossom scents. The dowside is that the palate is rather thick and honeyed but devoid of flavor. Seems to be fading into the night.",83,10.0,Other,Calchaquí Valley,Michael Schachner,Inca 2006 Torrontes-Chardonnay White (Calchaquí Valley),White Blend
US,"This rich and voluptuous wine wins one over with its baked pear and vanilla sumptuousness, etched with an apple blossom aroma. Robust and velvety on the palate, it's balanced by fresh citrus and wet stone nuances. The lifted acidity provokes both succulence and complexity.",95,40.0,California,Russian River Valley,Virginie Boone,EnRoute 2015 Brumaire Chardonnay (Russian River Valley),Chardonnay
US,"Brown sugar and buttered toast flavors dominate this wine, but it's not cloying, because it has lots of acidity. The mango, tangerine and peach flavors testify to exceptional ripeness.",85,22.0,California,Monterey,,San Simeon 2012 Chardonnay (Monterey),Chardonnay
Australia,"A blend of Shiraz from Eden Valley and the valley floor, this is both amply endowed and impressively complex. The creamy purée of raspberries is dusted with peppery spice and cocoa, leaving a savory impression on the lasting finish. Drink now–2015.",93,50.0,South Australia,Barossa,Joe Czerwinski,Torbreck 2006 The Struie Shiraz (Barossa),Shiraz
Italy,"A combination of 40% Cabernet Sauvignon, 25% Merlot, 20% Petit Verdot and a dollop of other grapes, this concentrated wine offers aromas of dark berry, cedar, espresso and kitchen spice. The dense palate doles out blackberry, black cherry, dark chocolate, dried herbs and tobacco alongside ample, velvety tannins. Drink through 2018.",90,60.0,Tuscany,Maremma Toscana,Kerin O’Keefe,Nittardi 2011 Nectar Dei  (Maremma Toscana),Red Blend
France,"Earthy and rustic, this intensely tannic wine has a dry character. The fruit is all there, hiding behind this rough exterior. Allow the wine time to soften out and drink from 2018.",88,35.0,Burgundy,Mercurey,Roger Voss,Château de Santenay 2012  Mercurey,Pinot Noir
South Africa,"Medium-intense spice and game aromas inflect the ripe forest-berry and cherry fruits. This is accessible and easy, with low tannins and a clean finish.",84,11.0,Paarl,,Lauren Buzzeo,Wamakersvallei 2010 Bain's Way Pinotage (Paarl),Pinotage
US,"Bring on the canapés to eat with this dry, crisp and savory Sauvignon Blanc. And look at that everyday price. The wine is high in acidity and dry, with palate-stimulating lemon, lime, honeysuckle, spice and vanilla flavors.",86,12.0,California,Dry Creek Valley,,Pedroncelli 2007 East Side Vineyards Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc
US,"Beautiful fruit flavors and a lively texture make a memorable impression in this medium-bodied, richly layered but also crisp and balanced wine. It tastes like sliced Pippin apples and Bosc pears, with pinches of vanilla and nutmeg.",90,18.0,California,Shenandoah Valley (CA),Jim Gordon,Helwig 2015 Viognier (Shenandoah Valley (CA)),Viognier
Italy,"Produced by probaby the most popular brand found in the many trattorie of Rome, this creamy Chardonnay delivers aromas of peach, apricot and vanilla cream.",88,20.0,Central Italy,Lazio,,Casale del Giglio 2011 Chardonnay (Lazio),Chardonnay
Italy,"Forest floor, new leather, tobacco and crushed herb aromas emerge in the glass. It's youthfully austere and a bit lean, with sour cherry, pomegranate, sage and white pepper framed in vibrant acidity and assertive fine-grained tannins. Drink 2023–2035.",89,,Piedmont,Barolo,Kerin O’Keefe,Arnaldo Rivera 2013 Bussia  (Barolo),Nebbiolo
Italy,"Rose, violet, black raspberry, wild cherry and espresso aromas lead the nose. The juicy fruit palate is accented with notes of sweet cake spices and supported by lithe tannins. Enjoy soon.",87,20.0,Tuscany,Rosso di Montepulciano,Kerin O’Keefe,Palazzo Vecchio 2013 Dogana  (Rosso di Montepulciano),Red Blend
France,"Tropical fruit aromas lead to a peach- and apricot-flavored palate. It shows old-vine concentration, spice from having aged in wood and a generous, velvet-like texture that is balanced by a fine shot of lemony acidity. Age this for 4–5 years.",92,62.0,Burgundy,Meursault,Roger Voss,Roche de Bellene 2010 Vieilles Vignes  (Meursault),Chardonnay
US,"Balanced and dry, this Chardonnay has pleasant flavors of green apples and pineapples, with creamy, yeasty complexities achieved through barrel fermentation and lees aging. The price is fair for the quality.",87,21.0,California,Paso Robles,,Robert Hall 2007 Chardonnay (Paso Robles),Chardonnay
US,"The deep, dark color matches the deep, rich fruit and oak aromas, and the ripe, resounding dark cherry and cola flavors that follow. This is powerful, full-bodied Pinot Noir for a special occasion, maybe now, but there is no hurry. Should improve through 2020.",94,72.0,California,Anderson Valley,Jim Gordon,Donum 2011 Estate Grown Pinot Noir (Anderson Valley),Pinot Noir
Portugal,"This feels very ripe, perhaps overripe, with its seemingly sweet flavor of black fruit juice and its soft structure. It's appealing and does have some tannins, but it is not for aging.",84,5.0,Alentejano,,Roger Voss,Herdade dos Machados 2009 Morgado da Canita Red (Alentejano),Portuguese Red
US,"Deep golden-yellow in the glass, this wine offers honeyed, candied aromas of mango, crystallized vanilla and golden raisin. It's thick and unctuous on the palate, with more honey, spun sugar, honeysuckle and fruit-nectar flavors that are delicious, but would be aided by a boost of acidity.",88,,California,Santa Lucia Highlands,Matt Kettmann,Talbott 2012 R&V Sleepy Hollow Vineyard Late Harvest Riesling (Santa Lucia Highlands),Riesling
France,"Crisp and fruity, this is a wine that hides nothing. It is all upfront, fresh fruit backed with lively acidity. It's a wine that sings brightly and effortlessly.",86,,Bordeaux,Bordeaux Blanc,Roger Voss,Château Lauduc 2012  Bordeaux Blanc,Bordeaux-style White Blend
France,"A beautiful nose full of classic garrigue-infused herbaceousness is supported by notes of raspberry-sage preserves and sweet spiced baked fruit. The mouth lacks a certain vibrancy, though, with a lighter than expected weight and acidity. The finish falls a little short, with a somewhat jarring sweet sharpness.",84,16.0,Languedoc-Roussillon,Coteaux du Languedoc,Lauren Buzzeo,Château de Lancyre 2005 La Coste d'Aleyrac Pic Saint-Loup Red (Coteaux du Languedoc),Rhône-style Red Blend
US,"From a producer to watch in underrated Lodi, this intense, black cherry, bacon-fat and white peppery Syrah has an almost peat-like, whisky aroma at first, very inviting, which then leads into more bacon and pepper that carries through on the palate, balanced by extremely smooth tannins and an unexpected elegance. A really cool Syrah to try on its own that'll go very nicely with meaty, wintery foods.",91,20.0,California,Lodi,Virginie Boone,Klinker Brick 2008 Farrah Syrah (Lodi),Syrah
US,"Sourced from the oldest vines in the vineyard, this lovely wine is scented with rose petals, cranberries and sour cherries. Those flavors continue in a light, elegant framework, that gains power and focus as it works its way through the palate. Don't quit on this; it won't quit on you, finishing with a lick of sea salt caramel chocolate.",91,60.0,Oregon,McMinnville,Paul Gregutt,Hyland 2014 Coury Pinot Noir (McMinnville),Pinot Noir
